model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,dataset_fingerprint,trained_on_this_dataset,fev_version,MASE,WQL
timecopilot,autogluon/chronos_datasets,m4_yearly,6,1,-6,6,-5,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m4_yearly,3.4115641258577467,,88.85265404000003,020f5777849c9c62,False,0.6.0,3.4115641258577467,0.1169761730880261
timecopilot,autogluon/chronos_datasets,dominick,8,1,-8,8,-7,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],dominick,0.8171339001717135,,582.5803540879999,ab1a8018332665ab,False,0.6.0,0.8171339001717135,0.3295555818386664
timecopilot,autogluon/chronos_datasets,m5,28,1,-28,28,-27,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m5,0.906674248517517,,584.7930052490001,78a5b1db66dfb76c,False,0.6.0,0.906674248517517,0.5536143922620141
timecopilot,autogluon/chronos_datasets,monash_tourism_monthly,24,1,-24,24,-23,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_monthly,1.4292292732537968,,107.435675182,3ce75ace84bef572,False,0.6.0,1.4292292732537968,0.0790971941665618
timecopilot,autogluon/chronos_datasets,monash_tourism_quarterly,8,1,-8,8,-7,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_quarterly,1.6223408706515454,,90.725377077,f34c4184775eda7e,False,0.6.0,1.6223408706515454,0.0597801393650899
timecopilot,autogluon/chronos_datasets,monash_tourism_yearly,4,1,-4,4,-3,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_yearly,3.5747123618200907,,74.45144080200001,7c477aee96f482c4,False,0.6.0,3.5747123618200907,0.1580192799957833
timecopilot,autogluon/chronos_datasets,monash_car_parts,12,1,-12,12,-11,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_car_parts,0.8438107216883975,,116.798960247,1ba8c4719a51b23c,False,0.6.0,0.8438107216883975,0.977330257613002
timecopilot,autogluon/chronos_datasets,monash_hospital,12,1,-12,12,-11,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_hospital,0.7715656244296779,,104.193838361,e364316542f2f5c7,False,0.6.0,0.7715656244296779,0.0536278408642718
timecopilot,autogluon/chronos_datasets,monash_cif_2016,12,1,-12,12,-11,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_cif_2016,0.937178219129742,,70.38486716899999,89203c02fafca301,False,0.6.0,0.937178219129742,0.0128493017821839
timecopilot,autogluon/chronos_datasets,monash_m1_yearly,6,1,-6,6,-5,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m1_yearly,4.028149050098825,,88.92860413,bd7efdf4c711a830,False,0.6.0,4.028149050098825,0.1400529738252418
timecopilot,autogluon/chronos_datasets,monash_m1_quarterly,8,1,-8,8,-7,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m1_quarterly,1.695922770506937,,78.39436832999999,5dd7170c16393209,False,0.6.0,1.695922770506937,0.0991189288385913
timecopilot,autogluon/chronos_datasets,monash_m1_monthly,18,1,-18,18,-17,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m1_monthly,1.053624977666057,,82.058715941,88d42195e0f8e7cc,False,0.6.0,1.053624977666057,0.1332771768039729
timecopilot,autogluon/chronos_datasets,monash_m3_monthly,18,1,-18,18,-17,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m3_monthly,0.8286361654975168,,115.440668056,372532bc65a1f203,False,0.6.0,0.8286361654975168,0.0900856487113432
timecopilot,autogluon/chronos_datasets,monash_m3_yearly,6,1,-6,6,-5,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m3_yearly,2.759102155120125,,98.25139432900002,d607d91b11bbe4a1,False,0.6.0,2.759102155120125,0.1250363194133956
timecopilot,autogluon/chronos_datasets,monash_m3_quarterly,8,1,-8,8,-7,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m3_quarterly,1.1839319005752151,,89.49035918899999,6401670c504aa82b,False,0.6.0,1.1839319005752151,0.0711619074323248
